study_hours,attendance_percent,previous_score,assignment_score,sleep_hours,internet_hours,extracurricular_activities,final_score,performance
7.97,88.15,38.72,78.67,8.21,1.24,3,77.83,High
4.95,94.89,62.5,97.44,6.23,5.78,4,82.88,High
8.73,96.45,42.74,59.11,8.76,7.65,3,87.12,High
7.28,77.66,44.14,62.63,7.25,6.8,2,77.03,High
1.85,78.41,72.94,87.79,4.58,2.94,2,63.54,Medium
9.78,90.99,58.58,67.87,8.43,1.37,1,92.03,High
7.85,69.15,90.31,82.88,6.45,7.58,1,76.64,High
8.07,92.68,54.15,64.88,4.71,7.56,3,77.34,High
2.15,77.24,78.57,49.01,4.76,4.73,0,59.71,Medium
5.05,60.21,62.67,83.44,7.44,5.5,0,70.06,Medium
4.34,58.24,74.6,43.53,4.24,4.24,1,51.81,Low
9.34,92.89,70.98,47.91,5.43,3.94,3,86.56,High
6.79,57.5,63.37,75.74,4.7,1.84,3,69.51,Medium
8.4,67.63,92.0,83.57,6.21,1.68,2,89.5,High
4.99,70.04,55.56,93.15,6.07,2.63,2,63.75,Medium
3.05,62.78,45.63,52.72,6.61,6.86,0,42.72,Low
5.99,69.13,75.69,42.2,5.4,2.02,1,67.67,Medium
1.57,88.42,85.76,97.14,4.16,2.59,0,66.7,Medium
8.45,55.66,37.42,45.04,7.07,4.84,3,64.34,Medium
6.68,92.22,61.98,47.85,5.87,2.51,3,79.74,High
7.82,93.54,88.55,53.94,7.26,2.14,1,98.09,High
4.19,71.75,79.98,69.41,4.54,4.94,1,59.7,Medium
9.74,61.91,94.51,92.38,4.07,3.58,1,90.89,High
9.04,82.04,66.88,84.44,5.24,5.38,4,94.72,High
8.01,60.39,74.6,81.03,6.28,7.39,2,76.81,High
2.75,71.42,53.15,46.39,5.97,2.06,3,53.84,Low
5.2,98.13,91.85,58.25,8.05,7.39,2,88.0,High
1.39,99.8,56.98,66.1,5.89,7.32,3,57.16,Low
2.39,89.74,79.31,44.58,6.65,6.8,2,68.34,Medium
7.15,68.99,59.19,52.77,6.97,5.42,1,75.31,High
7.7,85.94,68.71,55.04,4.11,5.34,4,79.26,High
9.71,86.74,78.19,43.27,6.58,5.47,3,94.66,High
3.93,72.45,65.54,70.77,5.72,5.83,3,65.68,Medium
4.33,83.84,89.43,80.83,6.11,1.12,4,85.4,High
5.23,55.48,60.16,39.55,4.5,7.71,1,52.52,Low
2.71,64.41,73.82,66.27,7.91,5.1,0,59.96,Medium
2.17,78.63,55.54,85.84,8.71,6.47,2,60.76,Medium
5.28,62.37,59.49,83.62,4.11,3.64,1,69.0,Medium
3.04,62.47,61.4,87.98,7.01,1.09,2,58.39,Low
7.03,92.63,42.55,64.14,7.82,4.57,1,84.27,High
4.93,99.51,40.5,88.34,5.42,4.55,1,74.8,High
8.49,80.02,75.05,50.65,7.94,4.06,1,80.76,High
7.3,92.76,74.33,58.45,7.16,3.38,1,92.84,High
3.81,99.56,74.77,46.46,8.65,2.75,3,87.99,High
8.49,61.37,36.19,65.39,8.91,4.69,2,81.12,High
8.24,75.17,54.59,60.48,4.21,3.63,2,85.08,High
4.49,72.67,46.87,50.66,6.22,7.79,0,57.8,Low
3.59,58.6,81.69,83.87,6.73,2.21,2,59.0,Medium
7.14,88.99,86.64,55.4,4.73,3.24,0,74.84,High
2.26,74.52,49.8,52.73,5.68,3.06,1,54.82,Low
2.8,76.12,75.07,43.51,8.94,4.8,2,60.69,Medium
1.07,61.78,42.76,63.52,4.08,4.49,0,36.56,Low
8.08,63.14,51.51,54.69,6.26,5.51,1,72.46,Medium
6.98,95.82,43.32,59.0,8.21,7.65,1,80.6,High
7.35,57.01,52.01,50.34,5.62,3.0,4,63.05,Medium
8.03,65.48,75.48,84.61,6.4,5.85,4,81.26,High
5.13,68.14,89.62,95.45,8.89,1.18,0,89.41,High
6.12,77.06,47.15,67.37,6.37,2.84,3,67.55,Medium
2.26,81.39,67.52,76.79,4.65,4.25,3,65.56,Medium
2.03,77.2,77.08,91.37,4.26,1.22,1,61.42,Medium
7.02,58.79,92.18,99.92,8.73,5.32,2,87.91,High
5.24,65.97,71.6,74.88,5.33,5.75,3,74.27,High
6.09,92.96,50.31,92.84,6.52,6.23,1,81.49,High
7.88,83.69,72.53,94.06,4.45,4.62,0,90.09,High
6.71,84.21,54.23,86.44,6.12,5.23,1,72.32,Medium
5.98,85.16,93.57,64.96,8.65,3.77,1,91.29,High
6.03,89.33,58.98,40.28,6.51,1.29,1,71.76,Medium
3.74,57.61,76.13,36.03,8.86,1.7,1,64.36,Medium
1.28,71.5,36.39,66.02,5.29,5.58,0,45.66,Low
4.93,79.28,59.0,67.13,6.52,7.97,4,70.42,Medium
2.93,70.23,87.51,61.48,8.3,1.11,0,70.18,Medium
4.68,93.0,71.61,71.93,6.24,4.9,3,71.84,Medium
8.68,76.72,61.64,70.89,5.4,6.26,3,76.03,High
3.11,89.59,91.16,89.38,8.28,6.79,3,80.44,High
1.52,93.34,86.24,42.06,5.95,4.82,4,64.34,Medium
3.53,77.72,54.33,49.64,6.65,5.34,0,64.81,Medium
3.64,95.93,67.67,86.55,8.88,5.88,1,74.86,High
6.96,81.42,64.39,90.11,4.93,7.01,0,70.52,Medium
6.01,93.26,72.93,99.66,5.51,1.86,2,90.99,High
8.06,70.33,55.05,91.74,4.16,7.48,3,75.09,High
6.98,77.45,49.65,92.84,5.96,1.18,4,83.13,High
4.66,78.91,89.76,55.43,5.0,6.85,1,66.48,Medium
8.33,59.72,90.43,61.11,7.4,1.54,1,94.82,High
2.5,72.93,85.6,52.43,4.91,2.36,4,58.63,Low
1.2,96.28,93.69,74.41,7.37,1.03,3,71.08,Medium
1.81,83.39,79.7,96.02,5.32,4.12,3,66.44,Medium
7.5,62.99,80.88,57.4,5.78,3.34,2,73.38,Medium
5.16,70.25,80.76,71.21,5.74,2.16,2,75.83,High
2.45,63.62,63.84,54.26,7.58,4.16,1,63.78,Medium
5.51,56.12,62.39,46.04,6.33,3.82,3,61.72,Medium
2.37,96.74,49.41,47.69,5.81,6.37,1,59.44,Medium
7.27,75.17,73.69,38.77,8.26,7.25,4,64.85,Medium
5.02,68.84,52.36,96.7,6.86,5.57,0,67.42,Medium
4.43,81.93,50.47,61.19,5.07,1.87,2,64.76,Medium
3.71,55.33,70.16,89.22,8.5,3.07,1,61.75,Medium
6.67,67.51,59.6,79.29,5.71,7.39,3,77.42,High
4.26,86.64,48.13,47.47,4.19,1.62,3,62.91,Medium
1.79,83.52,83.96,46.41,6.47,3.85,4,62.05,Medium
2.06,99.18,86.63,87.78,4.62,7.6,3,66.68,Medium
9.66,82.92,45.06,52.21,5.19,7.65,1,70.7,Medium
9.18,76.49,35.45,94.36,7.74,3.88,1,79.8,High
7.3,89.26,55.17,44.1,4.65,5.67,4,81.25,High
3.39,95.65,82.85,79.05,8.03,4.2,2,66.71,Medium
9.72,87.43,85.35,87.94,8.68,6.27,0,96.02,High
8.01,98.34,43.3,50.29,7.03,1.22,4,84.56,High
7.45,90.19,81.46,52.95,7.55,2.01,3,98.81,High
5.04,94.01,41.94,97.69,7.57,5.3,0,78.01,High
3.45,60.13,58.4,52.2,8.96,2.63,3,58.32,Low
1.87,87.96,94.92,62.95,5.71,5.66,3,72.63,Medium
9.12,74.8,46.56,63.11,4.81,3.46,3,77.56,High
5.1,79.89,44.24,51.45,6.6,7.21,4,69.48,Medium
2.82,84.43,60.37,85.43,6.67,6.73,2,56.96,Low
3.75,98.64,72.18,85.17,4.89,4.45,2,79.38,High
6.21,99.31,90.97,59.59,7.07,6.41,3,84.63,High
2.59,67.97,93.85,89.28,4.07,2.9,0,59.54,Medium
8.71,88.02,39.18,48.85,8.64,4.46,0,81.44,High
7.83,88.75,43.28,35.28,5.32,2.38,4,79.55,High
7.48,70.59,82.44,72.13,4.2,7.03,1,75.31,High
4.89,60.57,51.24,99.62,4.54,6.76,2,64.76,Medium
6.65,56.84,88.09,37.51,5.2,7.32,1,65.49,Medium
6.26,89.98,74.81,48.52,5.37,7.14,1,78.63,High
6.85,77.04,41.71,68.73,4.16,7.72,2,69.96,Medium
1.76,99.35,84.95,87.65,5.4,2.6,4,72.14,Medium
4.74,75.92,45.58,40.79,4.96,7.52,2,55.4,Low
1.37,99.01,60.41,60.69,5.89,5.0,0,59.6,Medium
5.45,73.52,68.13,83.56,5.93,3.96,1,76.05,High
3.97,90.72,65.05,59.15,5.7,4.92,0,77.7,High
2.3,58.82,76.17,47.27,5.64,3.4,4,60.02,Medium
1.93,80.0,74.16,47.71,4.45,3.02,1,62.06,Medium
6.29,91.09,94.52,61.65,4.13,2.69,1,99.42,High
2.54,96.61,94.97,66.16,5.01,1.58,0,75.29,High
9.33,92.02,65.99,91.02,7.78,4.48,2,99.53,High
6.23,56.66,40.71,76.75,8.95,7.21,4,70.58,Medium
4.12,71.77,78.67,79.88,8.64,5.41,2,66.91,Medium
6.32,57.19,93.6,98.89,6.52,4.65,3,78.28,High
1.21,59.92,54.1,61.77,6.66,4.0,0,44.37,Low
9.63,85.39,62.67,61.22,5.57,4.25,0,91.78,High
5.34,87.1,60.49,95.02,7.87,2.46,3,80.3,High
8.04,89.82,38.09,50.98,7.82,6.76,0,78.29,High
1.74,93.95,75.34,82.44,8.22,2.39,2,76.02,High
5.38,88.27,56.2,84.05,8.48,6.02,1,80.63,High
5.42,91.04,82.25,41.36,6.17,6.32,0,73.58,Medium
9.44,57.2,84.93,65.44,7.83,5.02,2,84.49,High
6.15,65.55,84.27,48.04,8.03,7.04,4,80.24,High
5.26,82.99,60.0,47.05,5.54,3.04,0,72.88,Medium
3.4,93.62,54.29,65.15,8.65,7.17,4,60.07,Medium
3.98,55.2,79.93,53.81,4.47,6.11,2,56.45,Low
5.69,78.16,83.08,86.74,8.97,6.59,3,82.7,High
4.95,85.48,64.48,93.99,7.85,5.65,0,79.7,High
1.19,56.33,88.58,87.18,4.47,6.92,4,58.0,Low
8.44,73.06,43.63,52.29,7.28,7.95,0,75.33,High
9.07,95.3,87.74,52.82,4.17,3.94,4,97.27,High
2.26,85.22,40.77,51.56,7.85,6.7,3,55.65,Low
5.99,65.69,44.21,43.78,8.0,6.21,1,60.39,Medium
1.98,93.38,67.03,96.35,7.01,4.17,0,66.0,Medium
7.05,70.66,39.05,61.13,8.28,7.49,3,70.87,Medium
3.53,93.4,38.17,49.6,4.49,3.76,0,58.7,Low
6.93,68.45,35.03,90.03,5.38,4.96,3,61.35,Medium
7.54,81.56,61.18,60.95,6.07,1.74,3,80.82,High
7.92,72.86,81.48,37.28,4.21,2.58,1,79.7,High
1.97,67.37,37.09,45.53,6.24,6.88,1,42.79,Low
9.24,94.9,74.14,76.55,5.33,3.78,1,93.58,High
3.07,63.44,84.39,85.89,5.96,3.76,1,67.28,Medium
1.34,58.82,45.08,48.71,6.13,2.72,0,38.53,Low
5.99,70.39,43.81,94.63,8.4,4.44,1,64.97,Medium
4.34,87.29,86.65,90.31,5.35,6.64,3,74.31,High
8.47,91.33,84.39,90.14,8.47,7.27,1,99.33,High
8.27,99.94,67.34,49.8,6.13,1.49,3,99.97,High
3.85,68.34,84.15,38.28,5.64,5.02,4,67.68,Medium
9.58,73.36,40.57,91.38,6.51,4.27,3,78.76,High
3.62,61.16,58.67,54.88,6.09,5.3,2,55.22,Low
5.64,80.87,79.27,75.23,5.29,4.13,1,78.09,High
3.3,99.89,50.45,84.4,6.51,3.79,4,72.08,Medium
9.42,86.54,80.14,43.34,4.76,4.3,1,91.96,High
2.48,81.78,65.25,85.75,5.76,5.07,2,58.37,Low
1.4,72.66,80.02,96.0,6.83,4.51,2,62.45,Medium
4.92,96.19,62.88,82.34,6.07,4.31,3,79.67,High
9.93,77.36,57.07,63.68,8.12,6.72,2,92.62,High
9.03,61.05,48.15,91.98,5.28,6.22,3,74.88,High
7.74,71.44,47.5,69.28,8.85,3.39,4,79.33,High
9.02,58.02,80.09,83.41,7.92,6.6,1,72.31,Medium
9.04,64.09,42.13,88.33,8.84,6.98,4,79.18,High
5.67,55.8,40.16,83.71,8.19,2.07,0,63.84,Medium
3.84,75.4,45.58,53.71,4.71,5.08,4,52.96,Low
7.95,83.55,45.52,42.66,6.63,3.0,0,78.38,High
6.95,70.45,84.39,50.49,4.85,6.17,4,76.18,High
4.36,73.92,58.91,67.69,8.09,2.67,1,57.49,Low
1.85,98.16,94.42,67.84,6.92,5.7,4,72.59,Medium
7.72,88.84,43.23,72.87,5.32,2.79,0,75.3,High
3.36,79.34,74.21,60.68,8.65,4.58,2,71.0,Medium
9.43,67.8,61.92,86.15,4.58,7.64,4,77.0,High
3.17,95.36,58.58,94.35,6.82,3.67,0,70.89,Medium
2.1,65.58,87.51,51.04,7.61,7.13,1,55.97,Low
8.48,69.64,93.54,82.87,4.29,7.91,0,85.68,High
2.38,95.91,87.37,79.07,6.99,7.12,1,70.81,Medium
2.61,78.83,46.54,69.0,8.08,2.16,1,59.81,Medium
6.39,88.4,48.25,47.25,4.34,6.74,3,62.02,Medium
8.87,81.58,74.36,86.69,6.56,1.23,1,86.73,High
2.77,84.4,52.35,97.44,5.29,3.75,0,60.03,Medium
3.79,68.47,79.08,81.92,7.31,7.1,0,66.0,Medium
8.0,65.86,68.99,94.66,4.59,5.82,4,78.09,High
9.75,69.51,68.05,98.97,8.69,4.73,4,98.45,High
5.51,61.99,84.71,57.88,8.47,3.72,1,72.51,Medium
2.3,94.34,77.63,76.48,4.93,6.69,0,59.48,Medium
1.13,67.75,36.59,65.81,5.62,5.97,0,41.35,Low
3.07,80.27,37.97,99.13,6.94,4.28,4,64.63,Medium
2.19,90.64,71.09,41.1,7.59,7.25,3,62.94,Medium
